address line1,city,state province,postal code,latitude,longitude,known use,owner,owner type,bbl,area acres
48 LEFFERTS PLACE,,NY,11238,40.6814305769231,-73.9618095384615,community garden,New York City Department of Parks and Recreation,public,3020180035,0.058080808080911000
490 GREENE AVENUE,,NY,11216,40.688148,-73.95129,community garden,New York City Department of Parks and Recreation,public,3017970057,0.045913682277400000
42 VERNON AVENUE,,,11206,40.69426058269246,-73.95030418601958,community garden,New York City Department of Parks and Recreation,public,,0.163909779614615517
1031 BEDFORD AVENUE,,,11216,40.68854670481337,-73.95463849135763,community garden,New York City Department of Parks and Recreation,public,,0.173771808999389650
182 SUMPTER STREET,,NY,11233,40.6800424842,-73.9175270869,community garden,New York City Department of Parks and Recreation,public,3015250028,0.057392102846750000
606 MARCY AVENUE,,,11206,40.693721514252445,-73.94918272853369,community garden,New York City Department of Parks and Recreation,public,,0.104056703397796877
953 GATES AVENUE,,NY,11221,40.6890850805,-73.9276411659,community garden,New York City Department of Parks and Recreation,public,3016320046,0.057392102846750000
389 KOSCIUSZKO STREET,,,11221,40.69224458262035,-73.93924877127446,community garden,New York City Department of Parks and Recreation,public,,0.193461432507229866
1 HUNTERFLY PLACE,,,11233,40.678119367224994,-73.92816946449051,community garden,New York City Department of Parks and Recreation,public,,0.210845959596333215
104 HART STREET,,,11206,40.69310974311209,-73.94728896670556,community garden,New York City Department of Parks and Recreation,public,,0.184256198347433940
        SKILLMAN AVENUE,,NY,11211,40.7160871096,-73.9402843792,community garden,New York City Department of Parks and Recreation,public,3028930035,0.113774104683397200
        COOPER STREET,,,11207,40.6846884564722,-73.91073448369923,community garden,New York City Department of Parks and Recreation,public,,0.164800045913974303
17 TEN EYCK STREET,,,11206,40.70980061004785,-73.95014012518858,community garden,New York City Department of Parks and Recreation,public,,0.114718549127843318
99 MC KIBBIN STREET,,,11206,40.70528936011974,-73.94401098723723,community garden,New York City Department of Parks and Recreation,public,,0.112973140496067957
        HAMILTON AVENUE,,,11231,40.6832489895408,-74.00560904844384,community garden,New York City Department of Parks and Recreation,public,,0.200003443526525205
601 WARWICK STREET,,NY,11207,40.6686697867,-73.8843809591,community garden,New York City Department of Parks and Recreation,public,3040630015,0.041322314049660000
555 GLENMORE AVENUE,,NY,11207,40.6742471056,-73.8899050612,community garden,New York City Department of Parks and Recreation,public,3039780035,0.031565656565712500
        GLENMORE AVENUE,,,11208,40.67650163578918,-73.87527855624909,community garden,New York City Department of Parks and Recreation,public,,0.481517676768530017
        GLENMORE AVENUE,,,11207,40.67417170911874,-73.8871875154836,community garden,New York City Department of Parks and Recreation,public,,0.234506198347522983
532 GLENMORE AVENUE,,,11207,40.67366565968323,-73.89078391659856,community garden,New York City Department of Parks and Recreation,public,,0.171208218549431021
1260 MADISON STREET,,,11221,40.69480365296332,-73.91298019879666,community garden,New York City Department of Parks and Recreation,public,,0.159541092745920907
        GLENMORE AVENUE,,,11207,40.67271842683497,-73.9006500366579,community garden,New York City Department of Parks and Recreation,public,,0.176370064279467716
